id;tps;dpt;desa_id
1;1;491;1
2;2;471;1
3;3;485;1
4;4;498;1
5;5;252;1
6;6;213;1
7;1;254;2
8;2;296;2
9;3;213;2
10;4;301;2
11;1;389;3
12;2;410;3
13;3;410;3
14;4;421;3
15;5;398;3
16;6;383;3
17;1;298;4
18;2;217;4
19;3;322;4
20;4;283;4
21;5;345;4
22;6;332;4
23;1;407;5
24;2;309;5
25;3;479;5
26;4;435;5
27;5;286;5
28;6;499;5
29;7;500;5
30;8;395;5
31;9;508;5
32;10;227;5
33;11;211;5
34;1;307;6
35;2;395;6
36;3;346;6
37;4;557;6
38;5;500;6
39;1;462;7
40;2;406;7
41;3;429;7
42;4;510;7
43;5;449;7
44;6;521;7
45;1;370;8
46;2;409;8
47;3;435;8
48;4;479;8
49;1;436;9
50;2;472;9
51;3;431;9
52;4;422;9
53;5;396;9
54;6;377;9
55;7;423;9
56;8;361;9
57;9;417;9
58;10;493;9
59;11;432;9
60;12;395;9
61;13;424;9
62;14;368;9
63;1;293;10
64;2;331;10
65;3;289;10
66;1;411;11
67;2;313;11
68;3;359;11
69;4;344;11
70;5;306;11
71;6;357;11
72;7;400;11
73;8;382;11
74;1;363;12
75;2;431;12
76;3;442;12
77;4;328;12
78;5;329;12
79;6;390;12
80;7;370;12
81;8;390;12
82;9;528;12
83;1;721;13
84;2;669;13
85;3;456;13
86;4;400;13
87;5;462;13
88;6;396;13
89;7;542;13
90;8;530;13
91;9;445;13
92;10;596;13
93;11;498;13
94;12;338;13
95;1;414;14
96;2;431;14
97;3;530;14
98;4;468;14
99;5;425;14
100;6;436;14
101;1;544;15
102;2;415;15
103;3;470;15
104;4;422;15
105;5;762;15
106;6;357;15
107;1;419;16
108;2;358;16
109;3;389;16
110;4;464;16
111;5;486;16
112;1;534;17
113;2;225;17
114;3;512;17
115;4;484;17
116;1;525;18
117;2;516;18
118;3;564;18
119;4;502;18
120;5;582;18
121;6;264;18
122;1;529;19
123;2;524;19
124;3;407;19
125;4;404;19
126;5;450;19
127;1;526;20
128;2;662;20
129;3;641;20
130;4;475;20
131;5;501;20
132;6;663;20
133;7;637;20
134;1;430;21
135;2;469;21
136;3;477;21
137;4;620;21
138;5;359;21
139;6;375;21
140;7;363;21
141;1;381;22
142;2;284;22
143;3;453;22
144;4;458;22
145;5;494;22
146;6;474;22
147;1;394;23
148;2;329;23
149;3;393;23
150;4;373;23
151;5;429;23
152;6;440;23
153;7;485;23
154;8;441;23
155;9;404;23
156;10;327;23
157;11;478;23
158;1;369;24
159;2;459;24
160;3;376;24
161;4;408;24
162;5;379;24
163;6;342;24
164;7;419;24
165;8;428;24
166;9;426;24
167;10;597;24
168;11;552;24
169;12;275;24
170;13;374;24
171;14;473;24
172;15;554;24
173;16;419;24
174;17;516;24
175;18;590;24
176;19;340;24
177;20;360;24
178;21;458;24
179;22;425;24
180;23;532;24
181;24;459;24
182;25;343;24
183;1;405;25
184;2;425;25
185;3;442;25
186;4;424;25
187;5;474;25
188;6;527;25
189;7;340;25
190;8;606;25
191;9;418;25
192;10;492;25
193;11;509;25
194;1;392;26
195;2;433;26
196;3;465;26
197;4;378;26
198;5;428;26
199;6;390;26
200;7;411;26
201;1;415;27
202;2;346;27
203;3;394;27
204;4;480;27
205;5;424;27
206;6;447;27
207;7;490;27
208;8;451;27
209;9;387;27
210;10;439;27
211;1;323;28
212;2;380;28
213;3;300;28
214;4;345;28
215;5;429;28
216;6;418;28
217;7;327;28
218;8;360;28
219;9;317;28
220;10;366;28
221;11;364;28
222;12;489;28
223;13;430;28
224;14;379;28
225;15;387;28
