id;jml_suara;paslon_id;tps_id;;;
1;8;0;1;;;
2;5;0;2;;;
3;15;0;3;;;
4;1;0;4;;;
5;0;0;5;;;
6;10;0;6;;;
7;1;0;7;;;
8;1;0;8;;;
9;4;0;9;;;
10;23;0;10;;;
11;0;0;11;;;
12;19;0;12;;;
13;5;0;13;;;
14;1;0;14;;;
15;0;0;15;;;
16;11;0;16;;;
17;2;0;17;;;
18;5;0;18;;;
19;2;0;19;;;
20;4;0;20;;;
21;1;0;21;;;
22;1;0;22;;;
23;3;0;23;;;
24;3;0;24;;;
25;0;0;25;;;
26;12;0;26;;;
27;4;0;27;;;
28;0;0;28;;;
29;25;0;29;;;
30;7;0;30;;;
31;15;0;31;;;
32;6;0;32;;;
33;12;0;33;;;
34;0;0;34;;;
35;1;0;35;;;
36;11;0;36;;;
37;10;0;37;;;
38;0;0;38;;;
39;4;0;39;;;
40;1;0;40;;;
41;15;0;41;;;
42;0;0;42;;;
43;0;0;43;;;
44;8;0;44;;;
45;3;0;45;;;
46;10;0;46;;;
47;5;0;47;;;
48;5;0;48;;;
49;6;0;49;;;
50;0;0;50;;;
51;2;0;51;;;
52;2;0;52;;;
53;2;0;53;;;
54;27;0;54;;;
55;1;0;55;;;
56;3;0;56;;;
57;0;0;57;;;
58;0;0;58;;;
59;14;0;59;;;
60;7;0;60;;;
61;10;0;61;;;
62;11;0;62;;;
63;4;0;63;;;
64;12;0;64;;;
65;25;0;65;;;
66;0;0;66;;;
67;2;0;67;;;
68;17;0;68;;;
69;0;0;69;;;
70;11;0;70;;;
71;0;0;71;;;
72;0;0;72;;;
73;1;0;73;;;
74;4;0;74;;;
75;9;0;75;;;
76;0;0;76;;;
77;1;0;77;;;
78;0;0;78;;;
79;2;0;79;;;
80;0;0;80;;;
81;3;0;81;;;
82;1;0;82;;;
83;10;0;83;;;
84;15;0;84;;;
85;9;0;85;;;
86;0;0;86;;;
87;3;0;87;;;
88;9;0;88;;;
89;0;0;89;;;
90;3;0;90;;;
91;0;0;91;;;
92;9;0;92;;;
93;6;0;93;;;
94;37;0;94;;;
95;1;0;95;;;
96;1;0;96;;;
97;2;0;97;;;
98;9;0;98;;;
99;13;0;99;;;
100;25;0;100;;;
101;0;0;101;;;
102;1;0;102;;;
103;2;0;103;;;
104;2;0;104;;;
105;3;0;105;;;
106;0;0;106;;;
107;9;0;107;;;
108;1;0;108;;;
109;4;0;109;;;
110;1;0;110;;;
111;1;0;111;;;
112;0;0;112;;;
113;3;0;113;;;
114;0;0;114;;;
115;0;0;115;;;
116;1;0;116;;;
117;0;0;117;;;
118;4;0;118;;;
119;19;0;119;;;
120;9;0;120;;;
121;0;0;121;;;
122;9;0;122;;;
123;1;0;123;;;
124;1;0;124;;;
125;3;0;125;;;
126;12;0;126;;;
127;4;0;127;;;
128;8;0;128;;;
129;2;0;129;;;
130;4;0;130;;;
131;2;0;131;;;
132;11;0;132;;;
133;0;0;133;;;
134;17;0;134;;;
135;11;0;135;;;
136;0;0;136;;;
137;0;0;137;;;
138;14;0;138;;;
139;27;0;139;;;
140;0;0;140;;;
141;3;0;141;;;
142;0;0;142;;;
143;7;0;143;;;
144;1;0;144;;;
145;0;0;145;;;
146;15;0;146;;;
147;5;0;147;;;
148;9;0;148;;;
149;18;0;149;;;
150;11;0;150;;;
151;17;0;151;;;
152;0;0;152;;;
153;9;0;153;;;
154;8;0;154;;;
155;0;0;155;;;
156;2;0;156;;;
157;1;0;157;;;
158;1;0;158;;;
159;7;0;159;;;
160;25;0;160;;;
161;4;0;161;;;
162;3;0;162;;;
163;3;0;163;;;
164;0;0;164;;;
165;0;0;165;;;
166;0;0;166;;;
167;2;0;167;;;
168;0;0;168;;;
169;5;0;169;;;
170;19;0;170;;;
171;2;0;171;;;
172;20;0;172;;;
173;4;0;173;;;
174;2;0;174;;;
175;1;0;175;;;
176;0;0;176;;;
177;0;0;177;;;
178;0;0;178;;;
179;4;0;179;;;
180;25;0;180;;;
181;19;0;181;;;
182;5;0;182;;;
183;2;0;183;;;
184;15;0;184;;;
185;3;0;185;;;
186;10;0;186;;;
187;13;0;187;;;
188;4;0;188;;;
189;2;0;189;;;
190;0;0;190;;;
191;7;0;191;;;
192;8;0;192;;;
193;0;0;193;;;
194;1;0;194;;;
195;7;0;195;;;
196;3;0;196;;;
