id;tps;dpt;desa_id
1;1;246;1
2;2;451;1
3;3;410;1
4;4;307;1
5;5;231;1
6;1;266;2
7;2;299;2
8;3;382;2
9;4;433;2
10;5;192;2
11;1;296;3
12;2;260;3
13;3;350;3
14;4;383;3
15;5;322;3
16;1;402;4
17;2;398;4
18;3;300;4
19;4;297;4
20;5;437;4
21;1;470;5
22;2;314;5
23;3;468;5
24;1;303;6
25;2;334;6
26;3;461;6
27;4;458;6
28;1;376;7
29;2;365;7
30;3;308;7
31;1;422;8
32;2;427;8
33;3;352;8
34;4;358;8
35;5;332;8
36;6;443;8
37;7;406;8
38;1;371;9
39;2;360;9
40;3;431;9
41;4;355;9
42;1;376;10
43;2;476;10
44;3;430;10
45;4;377;10
46;5;286;10
47;1;432;11
48;2;383;11
49;3;347;11
50;4;346;11
51;5;392;11
52;6;342;11
53;7;412;11
54;8;414;11
55;1;225;12
56;2;378;12
57;3;467;12
58;4;412;12
59;5;418;12
60;6;409;12
61;7;353;12
62;8;399;12
63;9;393;12
64;10;406;12
65;11;409;12
66;12;287;12
67;13;273;12
68;14;272;12
69;15;443;12
70;1;257;13
71;2;254;13
72;3;416;13
73;4;387;13
74;5;281;13
75;6;340;13
76;7;339;13
77;8;304;13
78;1;337;14
79;2;425;14
80;3;449;14
81;4;396;14
82;5;297;14
83;6;359;14
84;7;305;14
85;8;421;14
86;9;377;14
87;10;298;14
88;11;349;14
89;12;366;14
90;13;473;14
91;14;120;14
92;1;409;15
93;2;395;15
94;3;395;15
95;4;431;15
96;5;380;15
97;6;315;15
98;1;377;16
99;2;337;16
100;3;469;16
101;4;337;16
102;5;431;16
103;6;473;16
104;7;489;16
105;1;386;17
106;2;336;17
107;3;431;17
108;4;351;17
109;5;310;17
110;1;447;18
111;2;422;18
112;3;344;18
113;4;267;18
114;5;397;18
115;6;212;18
116;7;144;18
117;1;450;19
118;2;442;19
119;3;439;19
120;4;377;19
121;5;332;19
122;6;366;19
123;7;342;19
124;8;344;19
125;1;474;20
126;2;295;20
127;3;367;20
128;4;272;20
129;5;330;20
130;1;363;21
131;2;423;21
132;3;289;21
133;1;376;22
134;2;446;22
135;3;295;22
136;4;358;22
137;5;406;22
138;6;358;22
139;1;419;23
140;2;422;23
141;3;377;23
142;4;312;23
143;5;309;23
144;1;455;24
145;2;435;24
146;3;428;24
147;4;414;24
148;5;404;24
149;6;433;24
150;7;425;24
151;8;358;24
152;9;385;24
153;1;421;25
154;2;371;25
155;3;338;25
156;1;373;26
157;2;439;26
158;3;355;26
159;4;377;26
160;5;340;26
161;1;409;27
162;2;339;27
163;3;225;27
164;4;387;27
165;5;446;27
166;6;373;27
167;7;431;27
168;8;369;27
169;1;234;28
170;2;369;28
171;3;326;28
172;4;416;28
173;5;292;28
174;6;432;28
175;7;433;28
